0,1,2,3,4
tensor(0.0377),tensor(0.7392),tensor(0.5169),tensor(0.9364),tensor(0.4536)
tensor(0.2667),tensor(0.2457),tensor(0.8282),tensor(0.5847),tensor(0.6352)
tensor(0.9865),tensor(0.2309),tensor(0.3407),tensor(0.7041),tensor(0.3835)
tensor(0.1357),tensor(0.2315),tensor(0.8783),tensor(1.0290),tensor(0.1884)
tensor(0.5826),tensor(0.6017),tensor(0.0001),tensor(0.6596),tensor(0.5844)
tensor(0.6116),tensor(0.3946),tensor(0.0696),tensor(0.5643),tensor(0.7409)
tensor(0.5720),tensor(0.2766),tensor(0.3831),tensor(0.5028),tensor(0.8333)
tensor(0.4020),tensor(0.4443),tensor(0.4767),tensor(0.3284),tensor(0.7920)
tensor(0.1486),tensor(0.5288),tensor(0.5049),tensor(0.5889),tensor(0.5746)
tensor(0.5060),tensor(0.6568),tensor(0.4334),tensor(0.4935),tensor(0.5848)
tensor(0.6055),tensor(0.1960),tensor(0.9080),tensor(0.6823),tensor(0.3847)
tensor(0.7579),tensor(0.3277),tensor(0.5970),tensor(0.5961),tensor(0.4697)
tensor(0.1072),tensor(0.8183),tensor(0.3491),tensor(0.9931),tensor(0.2318)
tensor(0.0767),tensor(0.6237),tensor(0.2730),tensor(0.7978),tensor(0.8692)
tensor(0.4368),tensor(0.7097),tensor(0.0101),tensor(0.3620),tensor(0.7814)
tensor(0.1582),tensor(0.4291),tensor(1.0157),tensor(1.1808),tensor(0.1561)
tensor(0.2876),tensor(0.6652),tensor(0.8293),tensor(0.7405),tensor(0.2010)
tensor(0.7300),tensor(0.1283),tensor(0.2882),tensor(0.5006),tensor(0.8715)
tensor(0.5692),tensor(0.5901),tensor(0.0007),tensor(0.4038),tensor(0.8493)
tensor(0.5918),tensor(0.3128),tensor(0.5432),tensor(0.6331),tensor(0.6263)
tensor(0.1682),tensor(0.9045),tensor(0.9272),tensor(0.8439),tensor(0.0429)
tensor(0.2077),tensor(0.7437),tensor(0.4744),tensor(0.4108),tensor(0.8444)
tensor(0.6183),tensor(0.3099),tensor(0.5309),tensor(0.1638),tensor(0.9396)
tensor(0.5937),tensor(0.4984),tensor(0.5096),tensor(0.4120),tensor(0.6994)
tensor(0.1871),tensor(0.6179),tensor(0.6074),tensor(0.3819),tensor(0.8115)
tensor(0.5022),tensor(0.2898),tensor(0.6754),tensor(0.4454),tensor(0.5069)
tensor(0.5770),tensor(0.4737),tensor(0.6931),tensor(0.5111),tensor(0.3194)
tensor(0.1394),tensor(0.5106),tensor(0.5681),tensor(0.7065),tensor(0.7493)
tensor(0.3137),tensor(0.4910),tensor(0.4938),tensor(0.6685),tensor(0.7050)
tensor(0.4690),tensor(0.6171),tensor(0.7450),tensor(0.5179),tensor(0.1902)
